10;12345673;Perskindol;15,3;20
11;12345673;Arnica wärme creme;9,1;20
12;12345673;Mundspülung;8,5;20
14;12345673;Fieber Temomether;12,8;20
15;12345673;Erapatch;12,2;20
16;12345673;Uro Forte;15,9;20
17;12345673;Venengel;10;20
18;12345673;Venenkap plus;16,7;20
20;12345673;Husten und Bronchial;5,8;20
21;12345673;Bio Kinder- Fenchel;5,3;20
23;12345673;Lytomed;11,2;20
24;12345673;Junior angin;11,2;20
26;12345673;Cuurafam;9,7;20
27;12345673;Isländisch moos;14,2;20
28;12345673;Husten Saft  Alteaflu;12,9;20
29;12345673;Alteaflu Junior;12;20
30;12345673;Homedi Kind Tymian-Arnica;8,6;20
31;12345673;Homedi Kind Engelwurz;8,6;20
32;12345673;Gengigel Erste Zähne;15,3;20
33;12345673;Emser Nasen Spray;7,1;20
34;12345673;Easyear;12,2;20
35;12345673;Eye Drops;8,7;20
36;12345673;Oleo vital;6,7;20
37;12345673;Gynophilus;15,5;20
38;12345673;Luuf Pastillen;12,2;20
39;12345673;Hals Plus;9;20
40;12345673;Proktocreme;10,4;20
41;12345673; Bepanthen Spray;19,2;20
42;12345673;Panthenol;11,8;20
43;12345673;Wund Plaster;3,2;20
44;12345673;Magnezium Sport;16,2;20
46;12345673;Omni biotic;17,3;20
48;12345673;Schwangerschafts- Test;18,3;20
50;12345673;Dusch-Shampoo Sport;7,7;20
51;12345673;Lindernden intim Waschlotion;8,4;20
52;12345673;Sonnenmilch;16,8;20
53;12345673;Multi vit DK;18,3;20
54;12345673;Zink Plus C+D;14,9;20
55;12345673;Schlafgut;12,9;20
56;12345673;Octenisept Gel;8,5;20
57;12345673;Culex;5,9;20
58;12345673;Anti brumm forte;18,4;20
59;12345673;Anti brumm naturel;19;20
60;12345673;Novalac Rice AR;18,5;20
62;12345673;Novalac PRE;13,3;20
64;12345673;Weidenrinde Spezial Shampoo;10,2;20
66;12345673;Hämo Balance;5,6;20
68;12345673;Reflux  Control;15,5;20
